week,week_start,action_type,origin,destination,product,qty
0,2023-01-02,replenishment_order,F1,DC_W,P1,321
0,2023-01-02,replenishment_order,F1,DC_W,P2,100
0,2023-01-02,replenishment_order,F1,DC_W,P3,288
0,2023-01-02,replenishment_order,F1,DC_W,P4,276
0,2023-01-02,replenishment_order,F1,DC_W,P5,261
0,2023-01-02,replenishment_order,F1,DC_C,P1,335
0,2023-01-02,replenishment_order,F1,DC_C,P2,266
0,2023-01-02,replenishment_order,F1,DC_C,P3,357
0,2023-01-02,replenishment_order,F1,DC_C,P4,169
0,2023-01-02,replenishment_order,F1,DC_C,P5,341
0,2023-01-02,replenishment_order,F1,DC_E,P1,153
0,2023-01-02,replenishment_order,F1,DC_E,P2,343
0,2023-01-02,replenishment_order,F1,DC_E,P3,382
0,2023-01-02,replenishment_order,F1,DC_E,P4,200
0,2023-01-02,replenishment_order,F1,DC_E,P5,258
1,2023-01-09,replenishment_order,F1,DC_W,P1,297
1,2023-01-09,replenishment_order,F1,DC_W,P2,123
1,2023-01-09,replenishment_order,F1,DC_W,P3,248
1,2023-01-09,replenishment_order,F1,DC_W,P4,208
1,2023-01-09,replenishment_order,F1,DC_W,P5,361
1,2023-01-09,replenishment_order,F1,DC_C,P1,363
1,2023-01-09,replenishment_order,F1,DC_C,P2,310
1,2023-01-09,replenishment_order,F1,DC_C,P3,296
1,2023-01-09,replenishment_order,F1,DC_C,P4,320
1,2023-01-09,replenishment_order,F1,DC_C,P5,209
1,2023-01-09,replenishment_order,F1,DC_E,P1,221
1,2023-01-09,replenishment_order,F1,DC_E,P2,266
1,2023-01-09,replenishment_order,F1,DC_E,P3,381
1,2023-01-09,replenishment_order,F1,DC_E,P4,317
1,2023-01-09,replenishment_order,F1,DC_E,P5,265
2,2023-01-16,replenishment_order,F1,DC_W,P1,331
2,2023-01-16,replenishment_order,F1,DC_W,P2,211
2,2023-01-16,replenishment_order,F1,DC_W,P3,319
2,2023-01-16,replenishment_order,F1,DC_W,P4,223
2,2023-01-16,replenishment_order,F1,DC_W,P5,183
2,2023-01-16,replenishment_order,F1,DC_C,P1,282
2,2023-01-16,replenishment_order,F1,DC_C,P2,306
2,2023-01-16,replenishment_order,F1,DC_C,P3,237
2,2023-01-16,replenishment_order,F1,DC_C,P4,269
2,2023-01-16,replenishment_order,F1,DC_C,P5,308
2,2023-01-16,replenishment_order,F1,DC_E,P1,330
2,2023-01-16,replenishment_order,F1,DC_E,P2,368
2,2023-01-16,replenishment_order,F1,DC_E,P3,206
2,2023-01-16,replenishment_order,F1,DC_E,P4,385
