week,week_start,action_type,origin,destination,product,qty
0,2025-01-06,replenishment_order,F1,DC_W,Product1,321
0,2025-01-06,replenishment_order,F1,DC_W,Product2,100
0,2025-01-06,replenishment_order,F1,DC_W,Product3,288
0,2025-01-06,replenishment_order,F1,DC_W,Product4,276
0,2025-01-06,replenishment_order,F1,DC_W,Product5,261
0,2025-01-06,replenishment_order,F1,DC_C,Product1,335
0,2025-01-06,replenishment_order,F1,DC_C,Product2,266
0,2025-01-06,replenishment_order,F1,DC_C,Product3,357
0,2025-01-06,replenishment_order,F1,DC_C,Product4,169
0,2025-01-06,replenishment_order,F1,DC_C,Product5,341
0,2025-01-06,replenishment_order,F1,DC_E,Product1,153
0,2025-01-06,replenishment_order,F1,DC_E,Product2,343
0,2025-01-06,replenishment_order,F1,DC_E,Product3,382
0,2025-01-06,replenishment_order,F1,DC_E,Product4,200
0,2025-01-06,replenishment_order,F1,DC_E,Product5,258
1,2025-01-13,replenishment_order,F1,DC_W,Product1,297
1,2025-01-13,replenishment_order,F1,DC_W,Product2,123
1,2025-01-13,replenishment_order,F1,DC_W,Product3,248
1,2025-01-13,replenishment_order,F1,DC_W,Product4,208
1,2025-01-13,replenishment_order,F1,DC_W,Product5,361
1,2025-01-13,replenishment_order,F1,DC_C,Product1,363
1,2025-01-13,replenishment_order,F1,DC_C,Product2,310
1,2025-01-13,replenishment_order,F1,DC_C,Product3,296
1,2025-01-13,replenishment_order,F1,DC_C,Product4,320
1,2025-01-13,replenishment_order,F1,DC_C,Product5,209
1,2025-01-13,replenishment_order,F1,DC_E,Product1,221
1,2025-01-13,replenishment_order,F1,DC_E,Product2,266
1,2025-01-13,replenishment_order,F1,DC_E,Product3,381
1,2025-01-13,replenishment_order,F1,DC_E,Product4,317
1,2025-01-13,replenishment_order,F1,DC_E,Product5,265
2,2025-01-20,replenishment_order,F1,DC_W,Product1,331
2,2025-01-20,replenishment_order,F1,DC_W,Product2,211
2,2025-01-20,replenishment_order,F1,DC_W,Product3,319
2,2025-01-20,replenishment_order,F1,DC_W,Product4,223
2,2025-01-20,replenishment_order,F1,DC_W,Product5,183
2,2025-01-20,replenishment_order,F1,DC_C,Product1,282
2,2025-01-20,replenishment_order,F1,DC_C,Product2,306
2,2025-01-20,replenishment_order,F1,DC_C,Product3,237
2,2025-01-20,replenishment_order,F1,DC_C,Product4,269
2,2025-01-20,replenishment_order,F1,DC_C,Product5,308
2,2025-01-20,replenishment_order,F1,DC_E,Product1,330
2,2025-01-20,replenishment_order,F1,DC_E,Product2,368
2,2025-01-20,replenishment_order,F1,DC_E,Product3,206
2,2025-01-20,replenishment_order,F1,DC_E,Product4,385
2,2025-01-20,replenishment_order,F1,DC_E,Product5,291
3,2025-01-27,replenishment_order,F1,DC_W,Product1,336
3,2025-01-27,replenishment_order,F1,DC_W,Product2,309
3,2025-01-27,replenishment_order,F1,DC_W,Product3,161
3,2025-01-27,replenishment_order,F1,DC_W,Product4,121
3,2025-01-27,replenishment_order,F1,DC_W,Product5,317
3,2025-01-27,replenishment_order,F1,DC_C,Product1,253
3,2025-01-27,replenishment_order,F1,DC_C,Product2,310
3,2025-01-27,replenishment_order,F1,DC_C,Product3,243
3,2025-01-27,replenishment_order,F1,DC_C,Product4,193
3,2025-01-27,replenishment_order,F1,DC_C,Product5,185
3,2025-01-27,replenishment_order,F1,DC_E,Product1,319
3,2025-01-27,replenishment_order,F1,DC_E,Product2,183
3,2025-01-27,replenishment_order,F1,DC_E,Product3,314
3,2025-01-27,replenishment_order,F1,DC_E,Product4,215
3,2025-01-27,replenishment_order,F1,DC_E,Product5,331
4,2025-02-03,replenishment_order,F1,DC_W,Product1,142
4,2025-02-03,replenishment_order,F1,DC_W,Product2,161
4,2025-02-03,replenishment_order,F1,DC_W,Product3,305
4,2025-02-03,replenishment_order,F1,DC_W,Product4,268
4,2025-02-03,replenishment_order,F1,DC_W,Product5,161
4,2025-02-03,replenishment_order,F1,DC_C,Product1,370
4,2025-02-03,replenishment_order,F1,DC_C,Product2,182
4,2025-02-03,replenishment_order,F1,DC_C,Product3,226
4,2025-02-03,replenishment_order,F1,DC_C,Product4,160
4,2025-02-03,replenishment_order,F1,DC_C,Product5,216
4,2025-02-03,replenishment_order,F1,DC_E,Product1,247
4,2025-02-03,replenishment_order,F1,DC_E,Product2,188
4,2025-02-03,replenishment_order,F1,DC_E,Product3,330
4,2025-02-03,replenishment_order,F1,DC_E,Product4,218
4,2025-02-03,replenishment_order,F1,DC_E,Product5,318
5,2025-02-10,replenishment_order,F1,DC_W,Product1,162
5,2025-02-10,replenishment_order,F1,DC_W,Product2,213
5,2025-02-10,replenishment_order,F1,DC_W,Product3,102
5,2025-02-10,replenishment_order,F1,DC_W,Product4,327
5,2025-02-10,replenishment_order,F1,DC_W,Product5,287
5,2025-02-10,replenishment_order,F1,DC_C,Product1,345
5,2025-02-10,replenishment_order,F1,DC_C,Product2,236
5,2025-02-10,replenishment_order,F1,DC_C,Product3,339
5,2025-02-10,replenishment_order,F1,DC_C,Product4,294
5,2025-02-10,replenishment_order,F1,DC_C,Product5,101
5,2025-02-10,replenishment_order,F1,DC_E,Product1,176
5,2025-02-10,replenishment_order,F1,DC_E,Product2,248
5,2025-02-10,replenishment_order,F1,DC_E,Product3,285
5,2025-02-10,replenishment_order,F1,DC_E,Product4,119
5,2025-02-10,replenishment_order,F1,DC_E,Product5,311
6,2025-02-17,replenishment_order,F1,DC_W,Product1,263
6,2025-02-17,replenishment_order,F1,DC_W,Product2,257
6,2025-02-17,replenishment_order,F1,DC_W,Product3,187
6,2025-02-17,replenishment_order,F1,DC_W,Product4,278
6,2025-02-17,replenishment_order,F1,DC_W,Product5,108
6,2025-02-17,replenishment_order,F1,DC_C,Product1,119
6,2025-02-17,replenishment_order,F1,DC_C,Product2,320
6,2025-02-17,replenishment_order,F1,DC_C,Product3,196
6,2025-02-17,replenishment_order,F1,DC_C,Product4,204
6,2025-02-17,replenishment_order,F1,DC_C,Product5,162
6,2025-02-17,replenishment_order,F1,DC_E,Product1,233
6,2025-02-17,replenishment_order,F1,DC_E,Product2,115
6,2025-02-17,replenishment_order,F1,DC_E,Product3,190
6,2025-02-17,replenishment_order,F1,DC_E,Product4,258
6,2025-02-17,replenishment_order,F1,DC_E,Product5,239
7,2025-02-24,replenishment_order,F1,DC_W,Product1,399
7,2025-02-24,replenishment_order,F1,DC_W,Product2,216
7,2025-02-24,replenishment_order,F1,DC_W,Product3,216
7,2025-02-24,replenishment_order,F1,DC_W,Product4,251
7,2025-02-24,replenishment_order,F1,DC_W,Product5,157
7,2025-02-24,replenishment_order,F1,DC_C,Product1,362
7,2025-02-24,replenishment_order,F1,DC_C,Product2,271
7,2025-02-24,replenishment_order,F1,DC_C,Product3,157
7,2025-02-24,replenishment_order,F1,DC_C,Product4,338
7,2025-02-24,replenishment_order,F1,DC_C,Product5,110
7,2025-02-24,replenishment_order,F1,DC_E,Product1,394
7,2025-02-24,replenishment_order,F1,DC_E,Product2,359
7,2025-02-24,replenishment_order,F1,DC_E,Product3,273
7,2025-02-24,replenishment_order,F1,DC_E,Product4,133
7,2025-02-24,replenishment_order,F1,DC_E,Product5,164
8,2025-03-03,replenishment_order,F1,DC_W,Product1,183
8,2025-03-03,replenishment_order,F1,DC_W,Product2,172
8,2025-03-03,replenishment_order,F1,DC_W,Product3,249
8,2025-03-03,replenishment_order,F1,DC_W,Product4,383
8,2025-03-03,replenishment_order,F1,DC_W,Product5,233
8,2025-03-03,replenishment_order,F1,DC_C,Product1,298
8,2025-03-03,replenishment_order,F1,DC_C,Product2,306
8,2025-03-03,replenishment_order,F1,DC_C,Product3,361
8,2025-03-03,replenishment_order,F1,DC_C,Product4,110
8,2025-03-03,replenishment_order,F1,DC_C,Product5,221
8,2025-03-03,replenishment_order,F1,DC_E,Product1,335
8,2025-03-03,replenishment_order,F1,DC_E,Product2,344
8,2025-03-03,replenishment_order,F1,DC_E,Product3,378
8,2025-03-03,replenishment_order,F1,DC_E,Product4,310
8,2025-03-03,replenishment_order,F1,DC_E,Product5,173
9,2025-03-10,replenishment_order,F1,DC_W,Product1,251
9,2025-03-10,replenishment_order,F1,DC_W,Product2,109
9,2025-03-10,replenishment_order,F1,DC_W,Product3,294
9,2025-03-10,replenishment_order,F1,DC_W,Product4,266
9,2025-03-10,replenishment_order,F1,DC_W,Product5,300
9,2025-03-10,replenishment_order,F1,DC_C,Product1,379
9,2025-03-10,replenishment_order,F1,DC_C,Product2,306
9,2025-03-10,replenishment_order,F1,DC_C,Product3,196
9,2025-03-10,replenishment_order,F1,DC_C,Product4,159
9,2025-03-10,replenishment_order,F1,DC_C,Product5,356
9,2025-03-10,replenishment_order,F1,DC_E,Product1,158
9,2025-03-10,replenishment_order,F1,DC_E,Product2,148
9,2025-03-10,replenishment_order,F1,DC_E,Product3,161
9,2025-03-10,replenishment_order,F1,DC_E,Product4,252
9,2025-03-10,replenishment_order,F1,DC_E,Product5,137
10,2025-03-17,replenishment_order,F1,DC_W,Product1,381
10,2025-03-17,replenishment_order,F1,DC_W,Product2,389
10,2025-03-17,replenishment_order,F1,DC_W,Product3,392
10,2025-03-17,replenishment_order,F1,DC_W,Product4,111
10,2025-03-17,replenishment_order,F1,DC_W,Product5,383
10,2025-03-17,replenishment_order,F1,DC_C,Product1,399
10,2025-03-17,replenishment_order,F1,DC_C,Product2,382
10,2025-03-17,replenishment_order,F1,DC_C,Product3,301
10,2025-03-17,replenishment_order,F1,DC_C,Product4,310
10,2025-03-17,replenishment_order,F1,DC_C,Product5,136
10,2025-03-17,replenishment_order,F1,DC_E,Product1,362
10,2025-03-17,replenishment_order,F1,DC_E,Product2,117
10,2025-03-17,replenishment_order,F1,DC_E,Product3,195
10,2025-03-17,replenishment_order,F1,DC_E,Product4,397
10,2025-03-17,replenishment_order,F1,DC_E,Product5,226
11,2025-03-24,replenishment_order,F1,DC_W,Product1,139
11,2025-03-24,replenishment_order,F1,DC_W,Product2,390
11,2025-03-24,replenishment_order,F1,DC_W,Product3,395
11,2025-03-24,replenishment_order,F1,DC_W,Product4,156
11,2025-03-24,replenishment_order,F1,DC_W,Product5,359
11,2025-03-24,replenishment_order,F1,DC_C,Product1,217
11,2025-03-24,replenishment_order,F1,DC_C,Product2,214
11,2025-03-24,replenishment_order,F1,DC_C,Product3,178
11,2025-03-24,replenishment_order,F1,DC_C,Product4,113
11,2025-03-24,replenishment_order,F1,DC_C,Product5,180
11,2025-03-24,replenishment_order,F1,DC_E,Product1,116
11,2025-03-24,replenishment_order,F1,DC_E,Product2,377
11,2025-03-24,replenishment_order,F1,DC_E,Product3,298
11,2025-03-24,replenishment_order,F1,DC_E,Product4,365
11,2025-03-24,replenishment_order,F1,DC_E,Product5,315
12,2025-03-31,replenishment_order,F1,DC_W,Product1,139
12,2025-03-31,replenishment_order,F1,DC_W,Product2,382
12,2025-03-31,replenishment_order,F1,DC_W,Product3,369
12,2025-03-31,replenishment_order,F1,DC_W,Product4,204
12,2025-03-31,replenishment_order,F1,DC_W,Product5,133
12,2025-03-31,replenishment_order,F1,DC_C,Product1,311
12,2025-03-31,replenishment_order,F1,DC_C,Product2,318
12,2025-03-31,replenishment_order,F1,DC_C,Product3,369
12,2025-03-31,replenishment_order,F1,DC_C,Product4,115
12,2025-03-31,replenishment_order,F1,DC_C,Product5,142
12,2025-03-31,replenishment_order,F1,DC_E,Product1,279
12,2025-03-31,replenishment_order,F1,DC_E,Product2,285
12,2025-03-31,replenishment_order,F1,DC_E,Product3,110
12,2025-03-31,replenishment_order,F1,DC_E,Product4,219
12,2025-03-31,replenishment_order,F1,DC_E,Product5,275
13,2025-04-07,replenishment_order,F1,DC_W,Product1,321
13,2025-04-07,replenishment_order,F1,DC_W,Product2,194
13,2025-04-07,replenishment_order,F1,DC_W,Product3,245
13,2025-04-07,replenishment_order,F1,DC_W,Product4,344
13,2025-04-07,replenishment_order,F1,DC_W,Product5,386
13,2025-04-07,replenishment_order,F1,DC_C,Product1,169
13,2025-04-07,replenishment_order,F1,DC_C,Product2,175
13,2025-04-07,replenishment_order,F1,DC_C,Product3,381
13,2025-04-07,replenishment_order,F1,DC_C,Product4,218
13,2025-04-07,replenishment_order,F1,DC_C,Product5,315
13,2025-04-07,replenishment_order,F1,DC_E,Product1,283
13,2025-04-07,replenishment_order,F1,DC_E,Product2,185
13,2025-04-07,replenishment_order,F1,DC_E,Product3,296
13,2025-04-07,replenishment_order,F1,DC_E,Product4,296
13,2025-04-07,replenishment_order,F1,DC_E,Product5,277
14,2025-04-14,replenishment_order,F1,DC_W,Product1,129
14,2025-04-14,replenishment_order,F1,DC_W,Product2,398
14,2025-04-14,replenishment_order,F1,DC_W,Product3,220
14,2025-04-14,replenishment_order,F1,DC_W,Product4,291
14,2025-04-14,replenishment_order,F1,DC_W,Product5,365
14,2025-04-14,replenishment_order,F1,DC_C,Product1,226
14,2025-04-14,replenishment_order,F1,DC_C,Product2,332
14,2025-04-14,replenishment_order,F1,DC_C,Product3,391
14,2025-04-14,replenishment_order,F1,DC_C,Product4,207
14,2025-04-14,replenishment_order,F1,DC_C,Product5,221
14,2025-04-14,replenishment_order,F1,DC_E,Product1,371
14,2025-04-14,replenishment_order,F1,DC_E,Product2,147
14,2025-04-14,replenishment_order,F1,DC_E,Product3,108
14,2025-04-14,replenishment_order,F1,DC_E,Product4,372
14,2025-04-14,replenishment_order,F1,DC_E,Product5,346
15,2025-04-21,replenishment_order,F1,DC_W,Product1,391
15,2025-04-21,replenishment_order,F1,DC_W,Product2,117
15,2025-04-21,replenishment_order,F1,DC_W,Product3,146
15,2025-04-21,replenishment_order,F1,DC_W,Product4,131
15,2025-04-21,replenishment_order,F1,DC_W,Product5,305
15,2025-04-21,replenishment_order,F1,DC_C,Product1,281
15,2025-04-21,replenishment_order,F1,DC_C,Product2,207
15,2025-04-21,replenishment_order,F1,DC_C,Product3,117
15,2025-04-21,replenishment_order,F1,DC_C,Product4,291
15,2025-04-21,replenishment_order,F1,DC_C,Product5,271
15,2025-04-21,replenishment_order,F1,DC_E,Product1,133
15,2025-04-21,replenishment_order,F1,DC_E,Product2,372
