week,week_start,region,product,demand
0,2025-01-06,West,Product1,162
0,2025-01-06,Central,Product1,33
0,2025-01-06,East,Product1,76
0,2025-01-06,West,Product2,70
0,2025-01-06,Central,Product2,155
0,2025-01-06,East,Product2,291
0,2025-01-06,West,Product3,148
0,2025-01-06,Central,Product3,29
0,2025-01-06,East,Product3,44
0,2025-01-06,West,Product4,72
0,2025-01-06,Central,Product4,117
0,2025-01-06,East,Product4,98
0,2025-01-06,West,Product5,166
0,2025-01-06,Central,Product5,155
0,2025-01-06,East,Product5,48
1,2025-01-13,West,Product1,67
1,2025-01-13,Central,Product1,72
1,2025-01-13,East,Product1,181
1,2025-01-13,West,Product2,179
1,2025-01-13,Central,Product2,130
1,2025-01-13,East,Product2,122
1,2025-01-13,West,Product3,126
1,2025-01-13,Central,Product3,37
1,2025-01-13,East,Product3,96
1,2025-01-13,West,Product4,140
1,2025-01-13,Central,Product4,68
1,2025-01-13,East,Product4,86
1,2025-01-13,West,Product5,313
1,2025-01-13,Central,Product5,226
1,2025-01-13,East,Product5,184
2,2025-01-20,West,Product1,41
2,2025-01-20,Central,Product1,25
2,2025-01-20,East,Product1,172
2,2025-01-20,West,Product2,141
2,2025-01-20,Central,Product2,39
2,2025-01-20,East,Product2,254
2,2025-01-20,West,Product3,101
2,2025-01-20,Central,Product3,103
2,2025-01-20,East,Product3,133
2,2025-01-20,West,Product4,110
2,2025-01-20,Central,Product4,100
2,2025-01-20,East,Product4,74
2,2025-01-20,West,Product5,134
2,2025-01-20,Central,Product5,135
2,2025-01-20,East,Product5,164
3,2025-01-27,West,Product1,73
3,2025-01-27,Central,Product1,81
3,2025-01-27,East,Product1,156
3,2025-01-27,West,Product2,207
3,2025-01-27,Central,Product2,96
3,2025-01-27,East,Product2,146
3,2025-01-27,West,Product3,123
3,2025-01-27,Central,Product3,149
3,2025-01-27,East,Product3,86
3,2025-01-27,West,Product4,97
3,2025-01-27,Central,Product4,101
3,2025-01-27,East,Product4,74
3,2025-01-27,West,Product5,172
3,2025-01-27,Central,Product5,167
3,2025-01-27,East,Product5,105
4,2025-02-03,West,Product1,162
4,2025-02-03,Central,Product1,105
4,2025-02-03,East,Product1,80
4,2025-02-03,West,Product2,99
4,2025-02-03,Central,Product2,203
4,2025-02-03,East,Product2,181
4,2025-02-03,West,Product3,97
4,2025-02-03,Central,Product3,69
4,2025-02-03,East,Product3,179
4,2025-02-03,West,Product4,100
4,2025-02-03,Central,Product4,71
4,2025-02-03,East,Product4,120
4,2025-02-03,West,Product5,121
4,2025-02-03,Central,Product5,246
4,2025-02-03,East,Product5,84
5,2025-02-10,West,Product1,112
5,2025-02-10,Central,Product1,94
5,2025-02-10,East,Product1,109
5,2025-02-10,West,Product2,374
5,2025-02-10,Central,Product2,143
5,2025-02-10,East,Product2,135
5,2025-02-10,West,Product3,61
5,2025-02-10,Central,Product3,28
5,2025-02-10,East,Product3,103
5,2025-02-10,West,Product4,74
5,2025-02-10,Central,Product4,87
5,2025-02-10,East,Product4,158
5,2025-02-10,West,Product5,119
5,2025-02-10,Central,Product5,139
5,2025-02-10,East,Product5,187
6,2025-02-17,West,Product1,157
6,2025-02-17,Central,Product1,35
6,2025-02-17,East,Product1,49
6,2025-02-17,West,Product2,244
6,2025-02-17,Central,Product2,175
6,2025-02-17,East,Product2,55
6,2025-02-17,West,Product3,110
6,2025-02-17,Central,Product3,188
6,2025-02-17,East,Product3,68
6,2025-02-17,West,Product4,89
6,2025-02-17,Central,Product4,55
6,2025-02-17,East,Product4,134
6,2025-02-17,West,Product5,142
6,2025-02-17,Central,Product5,142
6,2025-02-17,East,Product5,233
7,2025-02-24,West,Product1,170
7,2025-02-24,Central,Product1,117
7,2025-02-24,East,Product1,49
7,2025-02-24,West,Product2,134
7,2025-02-24,Central,Product2,161
7,2025-02-24,East,Product2,164
7,2025-02-24,West,Product3,110
7,2025-02-24,Central,Product3,68
7,2025-02-24,East,Product3,109
7,2025-02-24,West,Product4,152
7,2025-02-24,Central,Product4,149
7,2025-02-24,East,Product4,131
7,2025-02-24,West,Product5,232
7,2025-02-24,Central,Product5,83
7,2025-02-24,East,Product5,170
8,2025-03-03,West,Product1,203
8,2025-03-03,Central,Product1,92
8,2025-03-03,East,Product1,90
8,2025-03-03,West,Product2,150
8,2025-03-03,Central,Product2,75
8,2025-03-03,East,Product2,294
8,2025-03-03,West,Product3,60
8,2025-03-03,Central,Product3,140
8,2025-03-03,East,Product3,107
8,2025-03-03,West,Product4,77
8,2025-03-03,Central,Product4,108
8,2025-03-03,East,Product4,105
8,2025-03-03,West,Product5,118
8,2025-03-03,Central,Product5,82
8,2025-03-03,East,Product5,245
9,2025-03-10,West,Product1,104
9,2025-03-10,Central,Product1,33
9,2025-03-10,East,Product1,159
9,2025-03-10,West,Product2,175
9,2025-03-10,Central,Product2,83
9,2025-03-10,East,Product2,225
9,2025-03-10,West,Product3,97
9,2025-03-10,Central,Product3,92
9,2025-03-10,East,Product3,131
9,2025-03-10,West,Product4,162
9,2025-03-10,Central,Product4,69
9,2025-03-10,East,Product4,73
9,2025-03-10,West,Product5,114
9,2025-03-10,Central,Product5,173
9,2025-03-10,East,Product5,98
10,2025-03-17,West,Product1,112
10,2025-03-17,Central,Product1,170
10,2025-03-17,East,Product1,62
10,2025-03-17,West,Product2,258
10,2025-03-17,Central,Product2,58
10,2025-03-17,East,Product2,124
10,2025-03-17,West,Product3,125
10,2025-03-17,Central,Product3,104
10,2025-03-17,East,Product3,124
10,2025-03-17,West,Product4,79
10,2025-03-17,Central,Product4,113
10,2025-03-17,East,Product4,58
10,2025-03-17,West,Product5,147
10,2025-03-17,Central,Product5,110
10,2025-03-17,East,Product5,146
11,2025-03-24,West,Product1,83
11,2025-03-24,Central,Product1,156
11,2025-03-24,East,Product1,63
11,2025-03-24,West,Product2,206
11,2025-03-24,Central,Product2,124
11,2025-03-24,East,Product2,176
11,2025-03-24,West,Product3,110
11,2025-03-24,Central,Product3,108
11,2025-03-24,East,Product3,55
11,2025-03-24,West,Product4,77
11,2025-03-24,Central,Product4,116
11,2025-03-24,East,Product4,177
11,2025-03-24,West,Product5,109
11,2025-03-24,Central,Product5,74
11,2025-03-24,East,Product5,160
12,2025-03-31,West,Product1,163
12,2025-03-31,Central,Product1,50
12,2025-03-31,East,Product1,81
12,2025-03-31,West,Product2,273
