week,week_start,location,product,holding_cost,stockout_cost,reward,served_units,unmet_units
0,2025-01-06,DC_W,Product1,12.87,0.0,-12.87,162,0
0,2025-01-06,DC_W,Product2,102.48,0.0,-102.48,70,0
0,2025-01-06,DC_W,Product3,77.28,0.0,-77.28,148,0
0,2025-01-06,DC_W,Product4,35.695,0.0,-35.695,72,0
0,2025-01-06,DC_W,Product5,93.612,0.0,-93.612,166,0
0,2025-01-06,DC_C,Product1,12.54,0.0,-12.54,33,0
0,2025-01-06,DC_C,Product2,90.048,0.0,-90.048,155,0
0,2025-01-06,DC_C,Product3,42.56,0.0,-42.56,29,0
0,2025-01-06,DC_C,Product4,8.107,0.0,-8.107,117,0
0,2025-01-06,DC_C,Product5,65.636,0.0,-65.636,155,0
0,2025-01-06,DC_E,Product1,13.97,0.0,-13.97,76,0
0,2025-01-06,DC_E,Product2,51.408,0.0,-51.408,291,0
0,2025-01-06,DC_E,Product3,53.2,0.0,-53.2,44,0
0,2025-01-06,DC_E,Product4,18.876,0.0,-18.876,98,0
0,2025-01-06,DC_E,Product5,220.58,0.0,-220.58,48,0
1,2025-01-13,DC_W,Product1,5.5,0.0,-5.5,67,0
1,2025-01-13,DC_W,Product2,172.368,0.0,-172.368,179,0
1,2025-01-13,DC_W,Product3,42.0,0.0,-42.0,126,0
1,2025-01-13,DC_W,Product4,18.755,0.0,-18.755,140,0
1,2025-01-13,DC_W,Product5,0.0,3026.03,-3026.03,174,139
1,2025-01-13,DC_C,Product1,4.62,0.0,-4.62,72,0
1,2025-01-13,DC_C,Product2,111.216,0.0,-111.216,130,0
1,2025-01-13,DC_C,Product3,32.2,0.0,-32.2,37,0
1,2025-01-13,DC_C,Product4,0.0,13.35,-13.35,67,1
1,2025-01-13,DC_C,Product5,0.0,2264.08,-2264.08,122,104
1,2025-01-13,DC_E,Product1,19.36,0.0,-19.36,181,0
1,2025-01-13,DC_E,Product2,10.416,0.0,-10.416,122,0
1,2025-01-13,DC_E,Product3,26.32,0.0,-26.32,96,0
1,2025-01-13,DC_E,Product4,28.798,0.0,-28.798,86,0
1,2025-01-13,DC_E,Product5,121.588,0.0,-121.588,184,0
2,2025-01-20,DC_W,Product1,26.07,0.0,-26.07,41,0
2,2025-01-20,DC_W,Product2,185.136,0.0,-185.136,141,0
2,2025-01-20,DC_W,Product3,66.64,0.0,-66.64,101,0
2,2025-01-20,DC_W,Product4,5.445,0.0,-5.445,110,0
2,2025-01-20,DC_W,Product5,0.0,5943.21,-5943.21,0,273
2,2025-01-20,DC_C,Product1,19.25,0.0,-19.25,25,0
2,2025-01-20,DC_C,Product2,141.792,0.0,-141.792,39,0
