ship_week,arrival_week,origin,destination,product,qty,base_lead_time_weeks,ship_week_start
0,2,Factory1,DC_W,Product1,228,2,2025-01-06
0,1,Factory1,DC_W,Product2,387,1,2025-01-06
0,2,Factory1,DC_W,Product3,189,2,2025-01-06
0,3,Factory2,DC_W,Product4,143,3,2025-01-06
0,3,Factory1,DC_W,Product5,393,3,2025-01-06
0,2,Factory1,DC_C,Product1,158,2,2025-01-06
0,1,Factory1,DC_C,Product2,193,1,2025-01-06
0,3,Factory1,DC_C,Product3,184,3,2025-01-06
0,3,Factory2,DC_C,Product4,271,3,2025-01-06
0,3,Factory1,DC_C,Product5,266,3,2025-01-06
0,1,Factory1,DC_E,Product1,230,1,2025-01-06
0,2,Factory1,DC_E,Product2,311,2,2025-01-06
0,1,Factory1,DC_E,Product3,128,1,2025-01-06
0,1,Factory2,DC_E,Product4,168,1,2025-01-06
0,2,Factory1,DC_E,Product5,65,2,2025-01-06
1,3,Factory1,DC_W,Product1,67,2,2025-01-13
1,2,Factory1,DC_W,Product2,179,1,2025-01-13
1,3,Factory1,DC_W,Product3,126,2,2025-01-13
1,4,Factory2,DC_W,Product4,140,3,2025-01-13
1,4,Factory1,DC_W,Product5,313,3,2025-01-13
1,3,Factory1,DC_C,Product1,72,2,2025-01-13
1,2,Factory1,DC_C,Product2,130,1,2025-01-13
1,4,Factory1,DC_C,Product3,37,3,2025-01-13
1,4,Factory2,DC_C,Product4,68,3,2025-01-13
1,4,Factory1,DC_C,Product5,226,3,2025-01-13
1,2,Factory1,DC_E,Product1,181,1,2025-01-13
1,3,Factory1,DC_E,Product2,122,2,2025-01-13
1,2,Factory1,DC_E,Product3,96,1,2025-01-13
1,2,Factory2,DC_E,Product4,86,1,2025-01-13
1,3,Factory1,DC_E,Product5,184,2,2025-01-13
2,4,Factory1,DC_W,Product1,41,2,2025-01-20
2,3,Factory1,DC_W,Product2,141,1,2025-01-20
2,4,Factory1,DC_W,Product3,101,2,2025-01-20
2,5,Factory2,DC_W,Product4,125,3,2025-01-20
2,5,Factory1,DC_W,Product5,447,3,2025-01-20
2,4,Factory1,DC_C,Product1,25,2,2025-01-20
2,3,Factory1,DC_C,Product2,39,1,2025-01-20
2,5,Factory1,DC_C,Product3,103,3,2025-01-20
2,5,Factory2,DC_C,Product4,100,3,2025-01-20
2,5,Factory1,DC_C,Product5,193,3,2025-01-20
2,3,Factory1,DC_E,Product1,172,1,2025-01-20
2,4,Factory1,DC_E,Product2,254,2,2025-01-20
2,3,Factory1,DC_E,Product3,133,1,2025-01-20
2,3,Factory2,DC_E,Product4,74,1,2025-01-20
2,4,Factory1,DC_E,Product5,164,2,2025-01-20
3,5,Factory1,DC_W,Product1,73,2,2025-01-27
3,4,Factory1,DC_W,Product2,348,1,2025-01-27
3,5,Factory1,DC_W,Product3,126,2,2025-01-27
3,6,Factory2,DC_W,Product4,97,3,2025-01-27
3,6,Factory1,DC_W,Product5,415,3,2025-01-27
3,5,Factory1,DC_C,Product1,81,2,2025-01-27
3,4,Factory1,DC_C,Product2,135,1,2025-01-27
3,6,Factory1,DC_C,Product3,149,3,2025-01-27
3,6,Factory2,DC_C,Product4,101,3,2025-01-27
3,6,Factory1,DC_C,Product5,167,3,2025-01-27
3,4,Factory1,DC_E,Product1,156,1,2025-01-27
3,5,Factory1,DC_E,Product2,173,2,2025-01-27
3,4,Factory1,DC_E,Product3,86,1,2025-01-27
3,4,Factory2,DC_E,Product4,74,1,2025-01-27
3,5,Factory1,DC_E,Product5,105,2,2025-01-27
4,6,Factory1,DC_W,Product1,235,2,2025-02-03
4,5,Factory1,DC_W,Product2,305,1,2025-02-03
4,6,Factory1,DC_W,Product3,97,2,2025-02-03
4,7,Factory2,DC_W,Product4,197,3,2025-02-03
4,7,Factory1,DC_W,Product5,452,3,2025-02-03
4,6,Factory1,DC_C,Product1,175,2,2025-02-03
4,5,Factory1,DC_C,Product2,203,1,2025-02-03
4,7,Factory1,DC_C,Product3,69,3,2025-02-03
4,7,Factory2,DC_C,Product4,139,3,2025-02-03
4,7,Factory1,DC_C,Product5,246,3,2025-02-03
4,5,Factory1,DC_E,Product1,80,1,2025-02-03
4,6,Factory1,DC_E,Product2,181,2,2025-02-03
4,5,Factory1,DC_E,Product3,179,1,2025-02-03
4,5,Factory2,DC_E,Product4,120,1,2025-02-03
4,6,Factory1,DC_E,Product5,84,2,2025-02-03
5,7,Factory1,DC_W,Product1,201,2,2025-02-10
5,6,Factory1,DC_W,Product2,679,1,2025-02-10
5,7,Factory1,DC_W,Product3,158,2,2025-02-10
5,8,Factory2,DC_W,Product4,187,3,2025-02-10
5,8,Factory1,DC_W,Product5,320,3,2025-02-10
5,7,Factory1,DC_C,Product1,94,2,2025-02-10
5,6,Factory1,DC_C,Product2,233,1,2025-02-10
5,8,Factory1,DC_C,Product3,50,3,2025-02-10
5,8,Factory2,DC_C,Product4,87,3,2025-02-10
5,8,Factory1,DC_C,Product5,139,3,2025-02-10
5,6,Factory1,DC_E,Product1,109,1,2025-02-10
5,7,Factory1,DC_E,Product2,135,2,2025-02-10
5,6,Factory1,DC_E,Product3,103,1,2025-02-10
5,6,Factory2,DC_E,Product4,158,1,2025-02-10
5,7,Factory1,DC_E,Product5,187,2,2025-02-10
6,8,Factory1,DC_W,Product1,157,2,2025-02-17
6,7,Factory1,DC_W,Product2,892,1,2025-02-17
6,8,Factory1,DC_W,Product3,110,2,2025-02-17
6,9,Factory2,DC_W,Product4,119,3,2025-02-17
6,9,Factory1,DC_W,Product5,452,3,2025-02-17
6,8,Factory1,DC_C,Product1,35,2,2025-02-17
6,7,Factory1,DC_C,Product2,175,1,2025-02-17
6,9,Factory1,DC_C,Product3,188,3,2025-02-17
