week,week_start,location,product,on_hand,in_transit,backlog
0,2023-01-02,DC_W,P1,365,154,13
0,2023-01-02,DC_W,P2,599,76,0
0,2023-01-02,DC_W,P3,259,166,22
0,2023-01-02,DC_W,P4,379,193,45
0,2023-01-02,DC_W,P5,324,81,42
0,2023-01-02,DC_C,P1,562,131,31
0,2023-01-02,DC_C,P2,302,170,31
0,2023-01-02,DC_C,P3,401,59,45
0,2023-01-02,DC_C,P4,446,78,30
0,2023-01-02,DC_C,P5,470,128,35
0,2023-01-02,DC_E,P1,432,192,2
0,2023-01-02,DC_E,P2,242,76,34
0,2023-01-02,DC_E,P3,458,183,36
0,2023-01-02,DC_E,P4,403,198,13
0,2023-01-02,DC_E,P5,533,114,32
1,2023-01-09,DC_W,P1,490,145,7
1,2023-01-09,DC_W,P2,377,134,42
1,2023-01-09,DC_W,P3,377,187,22
1,2023-01-09,DC_W,P4,419,169,29
1,2023-01-09,DC_W,P5,584,149,26
1,2023-01-09,DC_C,P1,209,112,14
1,2023-01-09,DC_C,P2,499,81,10
1,2023-01-09,DC_C,P3,275,68,15
1,2023-01-09,DC_C,P4,554,166,36
1,2023-01-09,DC_C,P5,518,90,44
1,2023-01-09,DC_E,P1,254,100,29
1,2023-01-09,DC_E,P2,241,159,19
1,2023-01-09,DC_E,P3,513,123,9
1,2023-01-09,DC_E,P4,493,87,24
1,2023-01-09,DC_E,P5,230,142,33
2,2023-01-16,DC_W,P1,351,193,43
2,2023-01-16,DC_W,P2,483,157,12
2,2023-01-16,DC_W,P3,462,79,7
2,2023-01-16,DC_W,P4,599,143,21
2,2023-01-16,DC_W,P5,315,140,2
2,2023-01-16,DC_C,P1,237,54,24
2,2023-01-16,DC_C,P2,440,59,36
2,2023-01-16,DC_C,P3,292,152,49
2,2023-01-16,DC_C,P4,476,182,47
2,2023-01-16,DC_C,P5,394,155,42
2,2023-01-16,DC_E,P1,342,89,47
2,2023-01-16,DC_E,P2,490,82,22
2,2023-01-16,DC_E,P3,518,132,32
2,2023-01-16,DC_E,P4,501,143,27
2,2023-01-16,DC_E,P5,499,159,31
3,2023-01-23,DC_W,P1,343,110,48
3,2023-01-23,DC_W,P2,244,90,24
3,2023-01-23,DC_W,P3,534,74,13
3,2023-01-23,DC_W,P4,226,155,11
3,2023-01-23,DC_W,P5,355,116,44
3,2023-01-23,DC_C,P1,364,71,26
3,2023-01-23,DC_C,P2,585,141,49
3,2023-01-23,DC_C,P3,536,55,32
3,2023-01-23,DC_C,P4,314,133,13
3,2023-01-23,DC_C,P5,339,188,10
3,2023-01-23,DC_E,P1,549,54,4
3,2023-01-23,DC_E,P2,541,144,37
3,2023-01-23,DC_E,P3,283,130,36
3,2023-01-23,DC_E,P4,450,120,47
3,2023-01-23,DC_E,P5,470,186,36
4,2023-01-30,DC_W,P1,494,62,17
4,2023-01-30,DC_W,P2,543,84,5
4,2023-01-30,DC_W,P3,330,83,46
4,2023-01-30,DC_W,P4,547,124,3
4,2023-01-30,DC_W,P5,485,143,48
4,2023-01-30,DC_C,P1,423,100,25
4,2023-01-30,DC_C,P2,591,154,33
4,2023-01-30,DC_C,P3,296,161,37
4,2023-01-30,DC_C,P4,326,122,14
4,2023-01-30,DC_C,P5,303,53,14
4,2023-01-30,DC_E,P1,421,50,14
4,2023-01-30,DC_E,P2,552,139,30
4,2023-01-30,DC_E,P3,361,151,9
4,2023-01-30,DC_E,P4,527,67,32
4,2023-01-30,DC_E,P5,336,162,27
5,2023-02-06,DC_W,P1,380,75,31
5,2023-02-06,DC_W,P2,589,173,3
5,2023-02-06,DC_W,P3,350,188,25
5,2023-02-06,DC_W,P4,464,186,43
5,2023-02-06,DC_W,P5,400,115,16
5,2023-02-06,DC_C,P1,487,93,12
5,2023-02-06,DC_C,P2,342,76,34
5,2023-02-06,DC_C,P3,446,122,19
5,2023-02-06,DC_C,P4,563,54,38
5,2023-02-06,DC_C,P5,560,116,27
5,2023-02-06,DC_E,P1,577,81,26
5,2023-02-06,DC_E,P2,389,88,40
5,2023-02-06,DC_E,P3,559,167,9
5,2023-02-06,DC_E,P4,234,140,2
5,2023-02-06,DC_E,P5,469,129,33
6,2023-02-13,DC_W,P1,436,113,10
6,2023-02-13,DC_W,P2,322,128,32
6,2023-02-13,DC_W,P3,511,165,48
6,2023-02-13,DC_W,P4,314,60,17
6,2023-02-13,DC_W,P5,497,115,40
6,2023-02-13,DC_C,P1,419,189,47
6,2023-02-13,DC_C,P2,227,118,30
6,2023-02-13,DC_C,P3,302,111,33
6,2023-02-13,DC_C,P4,290,140,34
6,2023-02-13,DC_C,P5,236,124,13
6,2023-02-13,DC_E,P1,489,78,44
6,2023-02-13,DC_E,P2,372,79,21
6,2023-02-13,DC_E,P3,363,114,29
6,2023-02-13,DC_E,P4,408,72,3
6,2023-02-13,DC_E,P5,491,133,17
7,2023-02-20,DC_W,P1,523,108,39
7,2023-02-20,DC_W,P2,322,60,46
7,2023-02-20,DC_W,P3,357,168,13
7,2023-02-20,DC_W,P4,458,180,2
7,2023-02-20,DC_W,P5,532,135,30
7,2023-02-20,DC_C,P1,409,181,2
7,2023-02-20,DC_C,P2,304,181,37
7,2023-02-20,DC_C,P3,207,127,26
7,2023-02-20,DC_C,P4,360,94,34
7,2023-02-20,DC_C,P5,283,169,40
7,2023-02-20,DC_E,P1,366,92,14
7,2023-02-20,DC_E,P2,392,157,17
7,2023-02-20,DC_E,P3,444,107,15
7,2023-02-20,DC_E,P4,209,50,11
7,2023-02-20,DC_E,P5,362,177,39
8,2023-02-27,DC_W,P1,306,86,11
8,2023-02-27,DC_W,P2,335,124,21
8,2023-02-27,DC_W,P3,287,69,0
8,2023-02-27,DC_W,P4,261,155,12
8,2023-02-27,DC_W,P5,387,138,44
8,2023-02-27,DC_C,P1,555,161,1
8,2023-02-27,DC_C,P2,430,167,0
8,2023-02-27,DC_C,P3,419,178,23
8,2023-02-27,DC_C,P4,201,51,20
8,2023-02-27,DC_C,P5,262,149,35
