week,week_start,product,promo_intensity
0,2023-01-02,P1,0
0,2023-01-02,P2,1
0,2023-01-02,P3,0
0,2023-01-02,P4,0
0,2023-01-02,P5,0
1,2023-01-09,P1,0
1,2023-01-09,P2,0
1,2023-01-09,P3,1
1,2023-01-09,P4,0
1,2023-01-09,P5,1
2,2023-01-16,P1,0
2,2023-01-16,P2,0
2,2023-01-16,P3,1
2,2023-01-16,P4,0
2,2023-01-16,P5,0
3,2023-01-23,P1,0
3,2023-01-23,P2,0
3,2023-01-23,P3,0
3,2023-01-23,P4,0
3,2023-01-23,P5,1
4,2023-01-30,P1,0
4,2023-01-30,P2,0
4,2023-01-30,P3,0
4,2023-01-30,P4,0
4,2023-01-30,P5,0
5,2023-02-06,P1,0
5,2023-02-06,P2,1
5,2023-02-06,P3,1
5,2023-02-06,P4,0
5,2023-02-06,P5,0
6,2023-02-13,P1,0
6,2023-02-13,P2,0
6,2023-02-13,P3,0
6,2023-02-13,P4,0
6,2023-02-13,P5,0
7,2023-02-20,P1,0
7,2023-02-20,P2,0
7,2023-02-20,P3,0
7,2023-02-20,P4,0
7,2023-02-20,P5,0
8,2023-02-27,P1,0
8,2023-02-27,P2,1
8,2023-02-27,P3,0
8,2023-02-27,P4,0
8,2023-02-27,P5,1
9,2023-03-06,P1,0
9,2023-03-06,P2,0
9,2023-03-06,P3,0
9,2023-03-06,P4,0
9,2023-03-06,P5,0
10,2023-03-13,P1,0
10,2023-03-13,P2,0
10,2023-03-13,P3,0
10,2023-03-13,P4,0
10,2023-03-13,P5,0
11,2023-03-20,P1,0
11,2023-03-20,P2,0
11,2023-03-20,P3,0
11,2023-03-20,P4,0
11,2023-03-20,P5,0
12,2023-03-27,P1,0
12,2023-03-27,P2,0
12,2023-03-27,P3,0
12,2023-03-27,P4,0
12,2023-03-27,P5,0
13,2023-04-03,P1,0
13,2023-04-03,P2,0
13,2023-04-03,P3,1
13,2023-04-03,P4,0
13,2023-04-03,P5,0
14,2023-04-10,P1,0
14,2023-04-10,P2,0
14,2023-04-10,P3,0
14,2023-04-10,P4,0
14,2023-04-10,P5,0
15,2023-04-17,P1,0
15,2023-04-17,P2,0
15,2023-04-17,P3,0
15,2023-04-17,P4,0
15,2023-04-17,P5,0
16,2023-04-24,P1,0
16,2023-04-24,P2,0
16,2023-04-24,P3,0
16,2023-04-24,P4,0
16,2023-04-24,P5,0
17,2023-05-01,P1,0
17,2023-05-01,P2,0
17,2023-05-01,P3,0
17,2023-05-01,P4,1
17,2023-05-01,P5,1
18,2023-05-08,P1,0
18,2023-05-08,P2,0
18,2023-05-08,P3,0
18,2023-05-08,P4,0
18,2023-05-08,P5,1
19,2023-05-15,P1,0
19,2023-05-15,P2,0
19,2023-05-15,P3,0
19,2023-05-15,P4,0
19,2023-05-15,P5,0
20,2023-05-22,P1,1
20,2023-05-22,P2,0
20,2023-05-22,P3,0
20,2023-05-22,P4,0
20,2023-05-22,P5,0
21,2023-05-29,P1,0
21,2023-05-29,P2,0
21,2023-05-29,P3,0
21,2023-05-29,P4,0
21,2023-05-29,P5,0
22,2023-06-05,P1,0
22,2023-06-05,P2,0
22,2023-06-05,P3,0
22,2023-06-05,P4,0
22,2023-06-05,P5,0
23,2023-06-12,P1,0
23,2023-06-12,P2,0
23,2023-06-12,P3,0
23,2023-06-12,P4,0
23,2023-06-12,P5,0
24,2023-06-19,P1,0
24,2023-06-19,P2,0
24,2023-06-19,P3,0
24,2023-06-19,P4,0
24,2023-06-19,P5,1
25,2023-06-26,P1,0
25,2023-06-26,P2,1
25,2023-06-26,P3,0
25,2023-06-26,P4,0
25,2023-06-26,P5,0
26,2023-07-03,P1,0
26,2023-07-03,P2,1
26,2023-07-03,P3,0
26,2023-07-03,P4,0
26,2023-07-03,P5,1
27,2023-07-10,P1,0
27,2023-07-10,P2,1
27,2023-07-10,P3,0
27,2023-07-10,P4,0
27,2023-07-10,P5,0
28,2023-07-17,P1,0
28,2023-07-17,P2,0
28,2023-07-17,P3,0
28,2023-07-17,P4,0
28,2023-07-17,P5,0
29,2023-07-24,P1,0
29,2023-07-24,P2,0
29,2023-07-24,P3,0
29,2023-07-24,P4,0
29,2023-07-24,P5,0
30,2023-07-31,P1,0
30,2023-07-31,P2,0
30,2023-07-31,P3,0
30,2023-07-31,P4,0
30,2023-07-31,P5,0
31,2023-08-07,P1,0
31,2023-08-07,P2,0
31,2023-08-07,P3,0
31,2023-08-07,P4,0
31,2023-08-07,P5,0
32,2023-08-14,P1,1
32,2023-08-14,P2,0
32,2023-08-14,P3,0
32,2023-08-14,P4,0
32,2023-08-14,P5,0
33,2023-08-21,P1,1
33,2023-08-21,P2,0
33,2023-08-21,P3,0
33,2023-08-21,P4,0
33,2023-08-21,P5,0
34,2023-08-28,P1,0
34,2023-08-28,P2,0
34,2023-08-28,P3,0
34,2023-08-28,P4,0
34,2023-08-28,P5,0
35,2023-09-04,P1,0
35,2023-09-04,P2,1
35,2023-09-04,P3,0
35,2023-09-04,P4,0
35,2023-09-04,P5,0
36,2023-09-11,P1,0
36,2023-09-11,P2,0
36,2023-09-11,P3,0
36,2023-09-11,P4,1
36,2023-09-11,P5,0
37,2023-09-18,P1,0
37,2023-09-18,P2,0
37,2023-09-18,P3,0
37,2023-09-18,P4,0
37,2023-09-18,P5,0
38,2023-09-25,P1,0
38,2023-09-25,P2,0
38,2023-09-25,P3,0
38,2023-09-25,P4,0
38,2023-09-25,P5,0
39,2023-10-02,P1,0
39,2023-10-02,P2,0
39,2023-10-02,P3,1
39,2023-10-02,P4,0
39,2023-10-02,P5,0
40,2023-10-09,P1,0
40,2023-10-09,P2,0
40,2023-10-09,P3,0
40,2023-10-09,P4,0
40,2023-10-09,P5,0
41,2023-10-16,P1,0
41,2023-10-16,P2,0
41,2023-10-16,P3,1
41,2023-10-16,P4,0
41,2023-10-16,P5,0
42,2023-10-23,P1,0
42,2023-10-23,P2,0
42,2023-10-23,P3,0
42,2023-10-23,P4,0
42,2023-10-23,P5,0
43,2023-10-30,P1,0
43,2023-10-30,P2,0
43,2023-10-30,P3,0
43,2023-10-30,P4,0
43,2023-10-30,P5,0
44,2023-11-06,P1,0
44,2023-11-06,P2,0
44,2023-11-06,P3,0
44,2023-11-06,P4,0
44,2023-11-06,P5,1
45,2023-11-13,P1,0
45,2023-11-13,P2,0
45,2023-11-13,P3,0
45,2023-11-13,P4,0
45,2023-11-13,P5,0
46,2023-11-20,P1,1
46,2023-11-20,P2,0
46,2023-11-20,P3,0
46,2023-11-20,P4,0
46,2023-11-20,P5,0
47,2023-11-27,P1,0
47,2023-11-27,P2,0
47,2023-11-27,P3,0
47,2023-11-27,P4,0
47,2023-11-27,P5,0
48,2023-12-04,P1,0
48,2023-12-04,P2,0
48,2023-12-04,P3,0
48,2023-12-04,P4,0
48,2023-12-04,P5,0
49,2023-12-11,P1,0
49,2023-12-11,P2,0
49,2023-12-11,P3,0
49,2023-12-11,P4,0
49,2023-12-11,P5,0
50,2023-12-18,P1,0
50,2023-12-18,P2,0
50,2023-12-18,P3,1
50,2023-12-18,P4,0
50,2023-12-18,P5,0
51,2023-12-25,P1,0
51,2023-12-25,P2,1
51,2023-12-25,P3,0
51,2023-12-25,P4,0
51,2023-12-25,P5,0
52,2024-01-01,P1,0
52,2024-01-01,P2,0
52,2024-01-01,P3,0
52,2024-01-01,P4,0
52,2024-01-01,P5,0
53,2024-01-08,P1,0
53,2024-01-08,P2,0
53,2024-01-08,P3,0
53,2024-01-08,P4,0
53,2024-01-08,P5,1
54,2024-01-15,P1,0
54,2024-01-15,P2,0
54,2024-01-15,P3,0
54,2024-01-15,P4,0
54,2024-01-15,P5,0
55,2024-01-22,P1,0
55,2024-01-22,P2,0
55,2024-01-22,P3,0
55,2024-01-22,P4,0
55,2024-01-22,P5,0
56,2024-01-29,P1,0
56,2024-01-29,P2,0
56,2024-01-29,P3,0
56,2024-01-29,P4,0
56,2024-01-29,P5,0
57,2024-02-05,P1,0
57,2024-02-05,P2,0
57,2024-02-05,P3,1
57,2024-02-05,P4,0
57,2024-02-05,P5,0
58,2024-02-12,P1,1
58,2024-02-12,P2,0
58,2024-02-12,P3,0
58,2024-02-12,P4,0
58,2024-02-12,P5,0
59,2024-02-19,P1,0
59,2024-02-19,P2,0
59,2024-02-19,P3,1
59,2024-02-19,P4,1
59,2024-02-19,P5,0
60,2024-02-26,P1,0
60,2024-02-26,P2,0
60,2024-02-26,P3,0
60,2024-02-26,P4,0
60,2024-02-26,P5,0
61,2024-03-04,P1,0
61,2024-03-04,P2,0
61,2024-03-04,P3,0
61,2024-03-04,P4,0
61,2024-03-04,P5,0
62,2024-03-11,P1,0
62,2024-03-11,P2,0
62,2024-03-11,P3,0
62,2024-03-11,P4,0
62,2024-03-11,P5,0
63,2024-03-18,P1,0
63,2024-03-18,P2,0
63,2024-03-18,P3,0
63,2024-03-18,P4,0
63,2024-03-18,P5,0
64,2024-03-25,P1,0
64,2024-03-25,P2,0
64,2024-03-25,P3,0
64,2024-03-25,P4,0
64,2024-03-25,P5,1
65,2024-04-01,P1,0
65,2024-04-01,P2,0
65,2024-04-01,P3,0
65,2024-04-01,P4,0
65,2024-04-01,P5,0
66,2024-04-08,P1,0
66,2024-04-08,P2,0
66,2024-04-08,P3,0
66,2024-04-08,P4,0
66,2024-04-08,P5,0
67,2024-04-15,P1,0
67,2024-04-15,P2,0
67,2024-04-15,P3,0
67,2024-04-15,P4,0
67,2024-04-15,P5,0
68,2024-04-22,P1,0
68,2024-04-22,P2,0
68,2024-04-22,P3,1
68,2024-04-22,P4,0
68,2024-04-22,P5,0
69,2024-04-29,P1,0
69,2024-04-29,P2,0
69,2024-04-29,P3,0
69,2024-04-29,P4,0
69,2024-04-29,P5,0
70,2024-05-06,P1,0
70,2024-05-06,P2,0
70,2024-05-06,P3,0
70,2024-05-06,P4,0
70,2024-05-06,P5,0
71,2024-05-13,P1,0
71,2024-05-13,P2,0
71,2024-05-13,P3,0
71,2024-05-13,P4,0
71,2024-05-13,P5,0
72,2024-05-20,P1,0
72,2024-05-20,P2,0
72,2024-05-20,P3,0
72,2024-05-20,P4,0
72,2024-05-20,P5,0
73,2024-05-27,P1,0
73,2024-05-27,P2,0
73,2024-05-27,P3,0
73,2024-05-27,P4,1
73,2024-05-27,P5,0
74,2024-06-03,P1,0
74,2024-06-03,P2,0
74,2024-06-03,P3,0
74,2024-06-03,P4,0
74,2024-06-03,P5,0
75,2024-06-10,P1,1
75,2024-06-10,P2,0
75,2024-06-10,P3,0
75,2024-06-10,P4,0
75,2024-06-10,P5,0
76,2024-06-17,P1,0
76,2024-06-17,P2,0
76,2024-06-17,P3,0
76,2024-06-17,P4,0
76,2024-06-17,P5,0
77,2024-06-24,P1,0
77,2024-06-24,P2,0
77,2024-06-24,P3,0
77,2024-06-24,P4,0
77,2024-06-24,P5,0
78,2024-07-01,P1,0
78,2024-07-01,P2,0
78,2024-07-01,P3,0
78,2024-07-01,P4,0
78,2024-07-01,P5,1
79,2024-07-08,P1,0
79,2024-07-08,P2,0
79,2024-07-08,P3,0
79,2024-07-08,P4,0
79,2024-07-08,P5,0
80,2024-07-15,P1,0
80,2024-07-15,P2,0
80,2024-07-15,P3,0
80,2024-07-15,P4,0
80,2024-07-15,P5,0
81,2024-07-22,P1,0
81,2024-07-22,P2,1
81,2024-07-22,P3,0
81,2024-07-22,P4,0
81,2024-07-22,P5,0
82,2024-07-29,P1,0
82,2024-07-29,P2,0
82,2024-07-29,P3,0
82,2024-07-29,P4,0
82,2024-07-29,P5,0
83,2024-08-05,P1,1
83,2024-08-05,P2,0
83,2024-08-05,P3,0
83,2024-08-05,P4,0
83,2024-08-05,P5,1
84,2024-08-12,P1,0
84,2024-08-12,P2,0
84,2024-08-12,P3,0
84,2024-08-12,P4,0
84,2024-08-12,P5,0
85,2024-08-19,P1,0
85,2024-08-19,P2,0
85,2024-08-19,P3,1
85,2024-08-19,P4,0
85,2024-08-19,P5,0
86,2024-08-26,P1,0
86,2024-08-26,P2,0
86,2024-08-26,P3,0
86,2024-08-26,P4,0
86,2024-08-26,P5,0
87,2024-09-02,P1,1
87,2024-09-02,P2,0
87,2024-09-02,P3,0
87,2024-09-02,P4,0
87,2024-09-02,P5,0
88,2024-09-09,P1,0
88,2024-09-09,P2,0
88,2024-09-09,P3,0
88,2024-09-09,P4,0
88,2024-09-09,P5,0
89,2024-09-16,P1,0
89,2024-09-16,P2,0
89,2024-09-16,P3,0
89,2024-09-16,P4,0
89,2024-09-16,P5,0
90,2024-09-23,P1,0
90,2024-09-23,P2,0
90,2024-09-23,P3,0
90,2024-09-23,P4,0
90,2024-09-23,P5,0
91,2024-09-30,P1,0
91,2024-09-30,P2,0
91,2024-09-30,P3,0
91,2024-09-30,P4,0
91,2024-09-30,P5,0
92,2024-10-07,P1,1
92,2024-10-07,P2,0
92,2024-10-07,P3,0
92,2024-10-07,P4,0
92,2024-10-07,P5,0
93,2024-10-14,P1,0
93,2024-10-14,P2,0
93,2024-10-14,P3,0
93,2024-10-14,P4,0
93,2024-10-14,P5,1
94,2024-10-21,P1,0
94,2024-10-21,P2,0
94,2024-10-21,P3,0
94,2024-10-21,P4,0
94,2024-10-21,P5,0
95,2024-10-28,P1,0
95,2024-10-28,P2,0
95,2024-10-28,P3,0
95,2024-10-28,P4,0
95,2024-10-28,P5,0
96,2024-11-04,P1,0
96,2024-11-04,P2,1
96,2024-11-04,P3,0
96,2024-11-04,P4,0
96,2024-11-04,P5,0
97,2024-11-11,P1,0
97,2024-11-11,P2,0
97,2024-11-11,P3,0
97,2024-11-11,P4,0
97,2024-11-11,P5,0
98,2024-11-18,P1,0
98,2024-11-18,P2,0
98,2024-11-18,P3,0
98,2024-11-18,P4,1
98,2024-11-18,P5,0
99,2024-11-25,P1,0
99,2024-11-25,P2,0
99,2024-11-25,P3,0
99,2024-11-25,P4,0
99,2024-11-25,P5,0
100,2024-12-02,P1,0
100,2024-12-02,P2,1
100,2024-12-02,P3,0
100,2024-12-02,P4,0
100,2024-12-02,P5,1
101,2024-12-09,P1,0
101,2024-12-09,P2,0
101,2024-12-09,P3,0
101,2024-12-09,P4,1
101,2024-12-09,P5,0
102,2024-12-16,P1,0
102,2024-12-16,P2,0
102,2024-12-16,P3,0
102,2024-12-16,P4,0
102,2024-12-16,P5,0
103,2024-12-23,P1,0
103,2024-12-23,P2,0
103,2024-12-23,P3,1
103,2024-12-23,P4,1
103,2024-12-23,P5,0
104,2024-12-30,P1,0
104,2024-12-30,P2,0
104,2024-12-30,P3,0
104,2024-12-30,P4,0
104,2024-12-30,P5,0
105,2025-01-06,P1,0
105,2025-01-06,P2,0
105,2025-01-06,P3,0
105,2025-01-06,P4,1
105,2025-01-06,P5,0
106,2025-01-13,P1,0
106,2025-01-13,P2,0
106,2025-01-13,P3,0
106,2025-01-13,P4,0
106,2025-01-13,P5,0
107,2025-01-20,P1,0
107,2025-01-20,P2,0
107,2025-01-20,P3,0
107,2025-01-20,P4,0
107,2025-01-20,P5,0
108,2025-01-27,P1,0
108,2025-01-27,P2,0
108,2025-01-27,P3,0
108,2025-01-27,P4,1
108,2025-01-27,P5,0
109,2025-02-03,P1,0
109,2025-02-03,P2,0
109,2025-02-03,P3,0
109,2025-02-03,P4,0
109,2025-02-03,P5,1
110,2025-02-10,P1,0
110,2025-02-10,P2,0
110,2025-02-10,P3,0
110,2025-02-10,P4,0
110,2025-02-10,P5,0
111,2025-02-17,P1,0
111,2025-02-17,P2,0
111,2025-02-17,P3,0
111,2025-02-17,P4,0
111,2025-02-17,P5,0
112,2025-02-24,P1,0
112,2025-02-24,P2,0
112,2025-02-24,P3,0
112,2025-02-24,P4,0
112,2025-02-24,P5,0
113,2025-03-03,P1,0
113,2025-03-03,P2,0
113,2025-03-03,P3,0
113,2025-03-03,P4,0
113,2025-03-03,P5,0
114,2025-03-10,P1,0
114,2025-03-10,P2,0
114,2025-03-10,P3,0
114,2025-03-10,P4,0
114,2025-03-10,P5,0
115,2025-03-17,P1,0
115,2025-03-17,P2,0
115,2025-03-17,P3,0
115,2025-03-17,P4,0
115,2025-03-17,P5,0
116,2025-03-24,P1,0
116,2025-03-24,P2,0
116,2025-03-24,P3,0
116,2025-03-24,P4,1
116,2025-03-24,P5,0
117,2025-03-31,P1,0
117,2025-03-31,P2,0
117,2025-03-31,P3,0
117,2025-03-31,P4,0
117,2025-03-31,P5,1
118,2025-04-07,P1,0
118,2025-04-07,P2,0
118,2025-04-07,P3,0
118,2025-04-07,P4,0
118,2025-04-07,P5,0
119,2025-04-14,P1,0
119,2025-04-14,P2,0
119,2025-04-14,P3,0
119,2025-04-14,P4,1
119,2025-04-14,P5,0
120,2025-04-21,P1,1
120,2025-04-21,P2,0
120,2025-04-21,P3,0
120,2025-04-21,P4,0
120,2025-04-21,P5,0
121,2025-04-28,P1,0
121,2025-04-28,P2,0
121,2025-04-28,P3,0
121,2025-04-28,P4,1
121,2025-04-28,P5,0
122,2025-05-05,P1,0
122,2025-05-05,P2,0
122,2025-05-05,P3,0
122,2025-05-05,P4,0
122,2025-05-05,P5,0
123,2025-05-12,P1,0
123,2025-05-12,P2,0
123,2025-05-12,P3,0
123,2025-05-12,P4,0
123,2025-05-12,P5,0
124,2025-05-19,P1,0
124,2025-05-19,P2,0
124,2025-05-19,P3,0
124,2025-05-19,P4,0
124,2025-05-19,P5,0
125,2025-05-26,P1,0
125,2025-05-26,P2,0
125,2025-05-26,P3,0
125,2025-05-26,P4,0
125,2025-05-26,P5,0
126,2025-06-02,P1,0
126,2025-06-02,P2,0
126,2025-06-02,P3,0
126,2025-06-02,P4,0
126,2025-06-02,P5,0
127,2025-06-09,P1,0
127,2025-06-09,P2,0
127,2025-06-09,P3,1
127,2025-06-09,P4,0
127,2025-06-09,P5,0
128,2025-06-16,P1,0
128,2025-06-16,P2,0
128,2025-06-16,P3,0
128,2025-06-16,P4,0
128,2025-06-16,P5,0
129,2025-06-23,P1,0
129,2025-06-23,P2,0
129,2025-06-23,P3,0
129,2025-06-23,P4,0
129,2025-06-23,P5,0
130,2025-06-30,P1,0
130,2025-06-30,P2,1
130,2025-06-30,P3,0
130,2025-06-30,P4,0
130,2025-06-30,P5,0
131,2025-07-07,P1,0
131,2025-07-07,P2,1
131,2025-07-07,P3,0
131,2025-07-07,P4,1
